x,y,r
29.186,28.661,0.150
-28.381,-26.568,0.150
21.472,15.102,0.150
10.863,-12.279,0.150
6.780,6.835,0.150
5.197,-21.863,0.150
-4.437,-6.814,0.150
14.273,31.668,0.150
28.761,2.827,0.150
-3.529,-14.833,0.150
-29.701,-30.244,0.150
-2.247,-11.618,0.150
-7.679,25.075,0.150
1.648,3.873,0.150
-16.888,-30.473,0.150
-11.191,-23.251,0.150
0.654,31.916,0.150
11.167,-20.362,0.150
25.189,18.993,0.150
15.002,26.022,0.150
16.825,18.544,0.150
-9.358,30.783,0.150
29.562,-21.684,0.150
16.256,13.770,0.150
-0.639,27.189,0.150
0.054,21.218,0.150
-9.349,24.502,0.150
25.581,-2.495,0.150
4.333,26.901,0.150
14.321,-0.857,0.150
-17.804,-11.221,0.150
12.773,-21.372,0.150
26.108,-14.839,0.150
26.328,-12.188,0.150
29.271,13.197,0.150
9.691,5.628,0.150
-12.042,-18.700,0.150
0.761,27.786,0.150
7.889,-27.176,0.150
26.090,-19.750,0.150
15.666,-28.239,0.150
9.786,-14.522,0.150
-17.497,24.031,0.150
-25.199,1.431,0.150
22.652,-16.331,0.150
-4.933,13.886,0.150
-29.960,-8.809,0.150
-21.000,11.057,0.150
-26.694,29.092,0.150
-30.378,14.683,0.150
-30.647,-15.636,0.150
20.055,-21.944,0.150
-20.241,12.256,0.150
-7.324,-29.238,0.150
31.360,-22.309,0.150
7.375,15.517,0.150
-24.761,-10.418,0.150
-30.028,-3.286,0.150
17.022,15.357,0.150
25.729,16.362,0.150
23.197,13.142,0.150
-1.742,-17.566,0.150
-25.469,-3.339,0.150
5.437,-6.851,0.150
0.947,-22.795,0.150
29.423,-15.418,0.150
6.789,-5.136,0.150
-30.846,3.709,0.150
-23.004,-28.366,0.150
-29.852,-21.685,0.150
-25.864,8.645,0.150
27.784,31.650,0.150
-17.122,-3.539,0.150
-15.950,5.839,0.150
7.946,19.213,0.150
13.408,-15.577,0.150
-4.927,1.676,0.150
-31.691,-29.728,0.150
-5.842,-24.885,0.150
14.321,-16.585,0.150
-25.615,-20.367,0.150
-17.182,-18.089,0.150
-12.178,9.073,0.150
-18.403,26.020,0.150
29.639,14.652,0.150
5.189,-28.721,0.150
-20.402,-25.998,0.150
19.370,-8.564,0.150
7.073,-13.467,0.150
30.945,-8.177,0.150
-30.780,11.860,0.150
-25.526,-12.421,0.150
21.799,11.045,0.150
-5.717,-0.905,0.150
-18.672,5.680,0.150
-27.277,-13.801,0.150
-8.134,27.857,0.150
-27.101,16.319,0.150
-19.689,4.579,0.150
-6.926,-2.354,0.150
16.229,-6.717,0.150
-26.847,22.405,0.150
9.023,29.419,0.150
12.330,-30.421,0.150
10.186,17.742,0.150
-9.115,-2.750,0.150
19.118,-14.788,0.150
29.101,19.478,0.150
27.651,21.504,0.150
-13.007,-17.176,0.150
-0.717,-15.398,0.150
-4.630,11.465,0.150
26.789,5.498,0.150
20.343,-25.859,0.150
-22.624,-5.327,0.150
25.312,31.273,0.150
9.477,-23.775,0.150
10.927,11.590,0.150
28.796,16.370,0.150
13.007,-6.134,0.150
31.689,18.100,0.150
-3.764,-30.119,0.150
6.091,24.436,0.150
-20.453,0.651,0.150
-1.123,-6.085,0.150
13.469,27.947,0.150
13.145,-1.760,0.150
29.567,-10.833,0.150
15.719,10.143,0.150
16.743,22.533,0.150
-17.600,7.760,0.150
-6.226,10.686,0.150
30.543,8.629,0.150
-31.257,-2.269,0.150
13.541,24.526,0.150
9.605,20.228,0.150
-30.903,28.367,0.150
14.686,6.812,0.150
-25.571,20.200,0.150
17.088,-19.230,0.150
15.632,5.519,0.150
-19.744,19.468,0.150
-23.176,7.189,0.150
4.230,-2.106,0.150
-18.880,29.874,0.150
-27.339,-31.806,0.150
10.138,16.299,0.150
-0.960,11.187,0.150
-10.567,-14.916,0.150
0.186,-30.238,0.150
-20.883,16.016,0.150
18.200,-6.113,0.150
-21.596,-7.574,0.150
-2.262,-13.132,0.150
2.432,-7.531,0.150
-3.661,23.712,0.150
26.541,-27.090,0.150
20.760,-12.533,0.150
9.364,18.934,0.150
9.818,-6.850,0.150
21.805,-26.051,0.150
1.950,22.460,0.150
19.063,8.246,0.150
-14.241,29.296,0.150
-7.730,-8.665,0.150
-11.623,-27.047,0.150
-2.728,-21.344,0.150
-3.711,-13.313,0.150
25.253,26.992,0.150
-3.712,8.936,0.150
27.497,-11.121,0.150
-25.629,-16.778,0.150
