x,y,r
-16.893,-25.397,0.275
-6.652,-22.082,0.275
-27.743,-6.298,0.275
26.749,19.229,0.275
16.970,-17.797,0.275
2.348,-14.292,0.275
-20.949,-25.204,0.275
-18.278,27.358,0.275
21.051,19.626,0.275
19.229,-19.620,0.275
-12.170,8.126,0.275
14.841,22.697,0.275
6.775,10.989,0.275
0.381,-20.621,0.275
-1.690,-26.282,0.275
27.814,23.391,0.275
3.049,-12.784,0.275
26.168,4.631,0.275
0.536,-5.507,0.275
6.330,-4.413,0.275
-21.675,-12.473,0.275
20.006,-29.233,0.275
-29.035,8.086,0.275
-14.052,2.216,0.275
-1.841,-10.058,0.275
31.826,-19.483,0.275
-5.581,-19.029,0.275
8.491,-14.316,0.275
-9.227,15.804,0.275
-11.477,3.746,0.275
-28.057,-17.352,0.275
16.970,7.388,0.275
-16.805,-10.812,0.275
-20.637,-2.623,0.275
-29.260,12.627,0.275
25.339,29.103,0.275
15.032,29.432,0.275
-30.836,-13.504,0.275
29.824,17.615,0.275
-5.733,28.372,0.275
7.713,20.347,0.275
-13.222,-19.749,0.275
-3.575,-23.268,0.275
-7.575,29.556,0.275
-10.796,-31.399,0.275
-29.133,-21.148,0.275
18.160,-8.786,0.275
-13.419,-25.785,0.275
30.832,-4.867,0.275
-18.693,-28.202,0.275
11.317,-22.423,0.275
-29.383,-0.597,0.275
-16.060,31.849,0.275
-24.175,1.871,0.275
17.523,-5.803,0.275
31.210,-1.423,0.275
-16.521,-5.720,0.275
-29.640,-5.042,0.275
-16.090,24.915,0.275
21.187,-0.091,0.275
-29.974,-15.719,0.275
-16.487,-18.684,0.275
-17.186,23.661,0.275
-22.931,-28.718,0.275
25.661,9.854,0.275
18.615,15.662,0.275
25.585,27.173,0.275
-10.458,10.042,0.275
19.168,9.120,0.275
20.149,1.794,0.275
9.903,11.901,0.275
-14.829,27.059,0.275
29.202,-27.240,0.275
30.150,29.554,0.275
10.775,-29.149,0.275
29.986,10.700,0.275
8.652,4.429,0.275
15.776,27.359,0.275
-18.013,-31.791,0.275
27.031,-31.161,0.275
19.832,18.110,0.275
24.184,3.239,0.275
24.237,-19.093,0.275
10.975,-10.839,0.275
25.072,17.509,0.275
-30.311,-29.812,0.275
6.047,-0.715,0.275
23.342,6.920,0.275
-23.119,-8.796,0.275
17.125,1.471,0.275
-31.325,21.612,0.275
20.964,-26.551,0.275
2.776,-7.606,0.275
18.393,-12.085,0.275
-17.043,-0.854,0.275
-24.675,7.742,0.275
24.662,0.798,0.275
-4.227,22.902,0.275
17.702,-27.717,0.275
-12.652,21.532,0.275
-4.962,19.094,0.275
-20.714,-22.444,0.275
2.679,25.861,0.275
13.473,-31.644,0.275
-0.864,13.798,0.275
-16.292,22.244,0.275
31.092,8.109,0.275
11.311,7.010,0.275
-11.951,26.419,0.275
-2.110,26.330,0.275
-12.438,23.522,0.275
-26.716,-22.788,0.275
25.722,-8.193,0.275
4.863,-9.572,0.275
7.733,-26.018,0.275
-20.501,9.872,0.275
-11.093,-12.763,0.275
28.761,21.106,0.275
19.271,19.664,0.275
29.013,-21.858,0.275
4.727,28.026,0.275
16.656,29.982,0.275
-24.523,9.700,0.275
11.225,15.693,0.275
-6.009,6.338,0.275
25.400,13.030,0.275
-12.181,-17.256,0.275
31.773,25.537,0.275
-6.386,-6.358,0.275
20.319,-13.839,0.275
-5.660,-31.156,0.275
-20.231,2.573,0.275
7.887,-22.013,0.275
-27.666,30.323,0.275
6.643,-12.017,0.275
-26.154,-15.494,0.275
-22.481,-16.746,0.275
-12.850,28.667,0.275
-21.548,18.588,0.275
11.565,3.017,0.275
29.395,-15.211,0.275
1.559,-21.919,0.275
-25.807,-29.968,0.275
-11.743,-24.207,0.275
-13.500,24.975,0.275
12.927,14.805,0.275
9.931,28.967,0.275
24.223,14.044,0.275
3.837,12.401,0.275
14.317,3.351,0.275
23.986,-15.611,0.275
-6.955,11.657,0.275
23.142,-10.981,0.275
-7.244,-4.922,0.275
-30.205,24.106,0.275
-30.784,29.446,0.275
22.310,20.697,0.275
-17.151,3.426,0.275
-20.154,20.831,0.275
31.772,13.213,0.275
26.959,27.976,0.275
-7.715,22.240,0.275
21.361,5.583,0.275
26.351,-12.471,0.275
9.398,25.418,0.275
6.406,-29.618,0.275
22.910,10.365,0.275
8.003,-10.295,0.275
21.387,25.064,0.275
6.700,1.734,0.275
31.196,-9.404,0.275
-26.783,13.665,0.275
6.264,-16.008,0.275
18.022,26.142,0.275
12.589,-24.526,0.275
30.625,20.908,0.275
0.595,-31.942,0.275
22.007,7.895,0.275
7.824,-30.831,0.275
14.914,-29.805,0.275
-1.403,-22.729,0.275
-8.971,24.970,0.275
15.897,20.219,0.275
-12.920,-7.139,0.275
-5.613,30.393,0.275
-12.879,12.207,0.275
18.485,13.092,0.275
-4.006,-20.808,0.275
27.637,-14.340,0.275
8.161,21.882,0.275
-15.617,0.712,0.275
-23.526,16.530,0.275
-0.049,-24.703,0.275
-10.208,-2.840,0.275
31.380,-21.346,0.275
-24.704,30.169,0.275
-13.017,4.304,0.275
-27.154,22.195,0.275
-20.527,13.970,0.275
-30.258,17.067,0.275
-20.411,-18.806,0.275
-29.769,-11.237,0.275
-10.999,30.907,0.275
6.835,-8.686,0.275
-18.242,29.190,0.275
30.633,-28.321,0.275
10.757,21.960,0.275
-25.329,-19.227,0.275
-23.181,-1.358,0.275
2.954,2.600,0.275
21.659,16.545,0.275
-17.968,-16.751,0.275
4.724,-19.550,0.275
-8.725,13.317,0.275
28.439,-19.799,0.275
-18.393,-30.275,0.275
-0.171,-29.353,0.275
-12.401,14.029,0.275
-7.955,-2.320,0.275
-5.221,-24.646,0.275
25.258,-1.175,0.275
30.320,1.727,0.275
-20.410,7.364,0.275
6.406,6.350,0.275
-20.290,-13.724,0.275
-4.151,-11.880,0.275
2.838,29.357,0.275
-10.555,2.408,0.275
-1.845,-24.357,0.275
13.511,6.201,0.275
-28.708,20.483,0.275
23.948,-26.846,0.275
28.269,18.238,0.275
-15.158,-28.334,0.275
-1.570,23.421,0.275
-18.617,-1.761,0.275
29.417,24.835,0.275
-13.578,-5.314,0.275
-31.830,1.879,0.275
-27.389,-4.264,0.275
22.126,29.139,0.275
31.909,-31.322,0.275
-26.081,8.992,0.275
12.146,-27.875,0.275
-25.343,16.768,0.275
-11.243,-10.280,0.275
-14.267,5.584,0.275
2.896,-4.805,0.275
-12.529,-9.005,0.275
2.329,-16.155,0.275
-1.123,9.692,0.275
2.829,5.158,0.275
-12.542,-11.759,0.275
23.256,19.040,0.275
-10.975,21.403,0.275
-31.640,23.495,0.275
-31.833,9.929,0.275
3.573,-17.737,0.275
-16.287,29.899,0.275
-6.819,-16.525,0.275
-3.747,14.859,0.275
18.606,-25.848,0.275
-28.454,-31.699,0.275
-9.636,11.659,0.275
-31.964,-8.729,0.275
16.596,4.660,0.275
-0.645,27.958,0.275
-6.885,-26.469,0.275
-7.195,-18.514,0.275
-23.923,-2.779,0.275
15.215,16.510,0.275
24.542,-11.666,0.275
-6.663,26.476,0.275
-25.414,26.932,0.275
24.392,30.720,0.275
21.170,13.492,0.275
24.226,4.854,0.275
7.791,27.157,0.275
-13.781,-10.547,0.275
-9.300,-4.995,0.275
-31.248,12.744,0.275
16.868,-1.947,0.275
15.476,-14.050,0.275
-15.033,13.884,0.275
4.107,10.286,0.275
18.661,30.079,0.275
27.441,15.464,0.275
-9.739,0.533,0.275
16.363,18.349,0.275
25.592,15.511,0.275
10.807,-15.722,0.275
7.780,-20.036,0.275
9.407,-20.734,0.275
17.365,-22.092,0.275
20.294,21.662,0.275
4.759,-14.472,0.275
-28.387,-27.941,0.275
8.847,-17.613,0.275
-31.652,-19.610,0.275
18.931,-17.934,0.275
-31.101,-1.115,0.275
-9.663,4.733,0.275
26.589,-10.345,0.275
8.640,-24.412,0.275
13.476,24.146,0.275
14.431,20.738,0.275
13.046,-4.606,0.275
20.400,26.745,0.275
23.318,1.708,0.275
22.735,-8.548,0.275
4.196,-16.192,0.275
-31.525,-6.510,0.275
4.073,24.394,0.275
19.944,-21.918,0.275
17.834,27.867,0.275
29.571,12.283,0.275
-7.015,2.802,0.275
9.649,7.238,0.275
-19.898,24.616,0.275
2.607,-27.437,0.275
-21.591,-0.548,0.275
24.592,-10.012,0.275
13.354,-19.818,0.275
-21.444,16.933,0.275
-18.501,14.644,0.275
-23.815,-21.011,0.275
20.507,-3.248,0.275
19.556,-0.985,0.275
-15.351,-24.832,0.275
-20.742,-7.428,0.275
8.122,-6.473,0.275
10.876,-12.719,0.275
-14.593,-4.085,0.275
12.522,-29.671,0.275
-0.428,-15.561,0.275
17.664,17.345,0.275
14.740,-5.184,0.275
-8.143,-9.701,0.275
-7.154,-23.753,0.275
-1.827,31.263,0.275
17.068,13.974,0.275
27.368,-3.544,0.275
-8.814,18.742,0.275
-22.522,7.892,0.275
0.886,17.399,0.275
-27.977,10.979,0.275
11.751,-14.082,0.275
-0.042,30.799,0.275
-23.267,-5.911,0.275
15.003,13.848,0.275
27.382,-21.054,0.275
-15.625,-7.228,0.275
-4.650,-15.034,0.275
-25.503,4.743,0.275
-3.342,24.383,0.275
-21.502,22.476,0.275
-9.604,-14.178,0.275
8.482,-3.792,0.275
1.157,9.551,0.275
23.010,12.692,0.275
-13.073,10.603,0.275
12.304,26.121,0.275
16.421,-10.586,0.275
-9.781,-17.906,0.275
31.383,28.314,0.275
-5.025,-3.289,0.275
9.714,0.301,0.275
5.607,-6.317,0.275
-25.523,-0.325,0.275
-6.543,-8.538,0.275
-21.628,-9.821,0.275
-2.167,-3.815,0.275
-5.826,22.580,0.275
-3.910,8.532,0.275
-23.693,-30.073,0.275
-21.815,2.766,0.275
-16.625,18.856,0.275
-22.089,10.425,0.275
22.896,-29.452,0.275
0.672,-12.856,0.275
14.786,-18.935,0.275
-21.059,-27.523,0.275
-23.185,31.375,0.275
-27.433,4.849,0.275
24.083,-21.084,0.275
9.042,-2.028,0.275
6.097,29.408,0.275
-31.706,31.496,0.275
10.627,18.651,0.275
13.136,9.431,0.275
-28.147,2.489,0.275
27.511,3.608,0.275
-5.420,0.373,0.275
3.532,22.149,0.275
-0.619,4.244,0.275
1.172,11.154,0.275
-14.624,31.198,0.275
-18.163,-5.121,0.275
-16.413,15.570,0.275
-24.551,14.148,0.275
-27.077,-1.259,0.275
-22.739,4.490,0.275
3.899,-21.495,0.275
-14.930,16.321,0.275
-15.119,-12.896,0.275
18.140,4.030,0.275
19.855,23.598,0.275
8.210,18.329,0.275
-0.466,19.781,0.275
-30.488,-22.298,0.275
