x,y,r
4.570,-4.551,0.650
4.998,-18.810,0.650
20.053,20.710,0.650
9.822,-21.745,0.650
1.323,-11.023,0.650
-16.000,28.980,0.650
31.780,-29.148,0.650
23.050,6.604,0.650
-7.577,-13.848,0.650
11.198,-2.763,0.650
11.895,10.358,0.650
-23.489,17.142,0.650
30.874,30.041,0.650
7.253,-29.167,0.650
-31.740,-23.426,0.650
28.224,-12.617,0.650
-8.567,25.485,0.650
-11.881,3.135,0.650
-4.094,-27.840,0.650
5.411,22.020,0.650
-21.989,-17.645,0.650
-5.576,-29.637,0.650
-0.217,20.351,0.650
10.105,2.143,0.650
4.303,-8.053,0.650
6.483,-24.773,0.650
17.633,-25.817,0.650
-21.353,19.677,0.650
28.652,-4.273,0.650
-5.499,-16.289,0.650
-14.419,7.504,0.650
-20.579,-24.353,0.650
-2.833,-21.444,0.650
9.518,20.548,0.650
17.761,-1.271,0.650
-9.755,-4.179,0.650
-31.679,13.605,0.650
-10.774,-11.557,0.650
-26.885,-3.324,0.650
23.651,11.095,0.650
-16.550,1.623,0.650
26.274,1.287,0.650
-6.328,-5.092,0.650
5.436,2.475,0.650
-3.754,29.995,0.650
-31.819,2.267,0.650
-28.763,-26.064,0.650
31.532,-0.956,0.650
-2.647,-4.063,0.650
14.478,25.468,0.650
12.664,-4.908,0.650
9.570,26.211,0.650
7.623,11.969,0.650
9.126,5.666,0.650
21.083,-1.348,0.650
19.686,29.591,0.650
-4.137,22.966,0.650
-29.041,26.438,0.650
17.078,29.592,0.650
30.804,-13.729,0.650
6.088,26.853,0.650
-19.714,-9.608,0.650
-26.896,-19.542,0.650
-18.707,-25.856,0.650
31.981,24.802,0.650
-2.319,15.597,0.650
12.495,1.437,0.650
-4.897,10.501,0.650
3.553,-14.983,0.650
-8.683,8.145,0.650
8.136,-18.586,0.650
7.025,23.995,0.650
-26.303,-28.464,0.650
-15.699,-2.760,0.650
16.602,8.246,0.650
-13.921,12.484,0.650
-10.142,14.499,0.650
12.137,14.070,0.650
19.270,-6.064,0.650
31.510,14.122,0.650
-27.809,22.226,0.650
21.533,-30.956,0.650
-13.931,-20.073,0.650
-17.928,15.674,0.650
28.873,-19.729,0.650
-30.973,-19.115,0.650
-11.091,-28.950,0.650
12.306,-28.791,0.650
-6.590,6.474,0.650
-21.028,-21.905,0.650
-9.641,-6.565,0.650
13.215,7.031,0.650
14.244,31.106,0.650
20.627,-10.026,0.650
-19.562,-4.295,0.650
-22.236,27.661,0.650
-20.002,8.568,0.650
4.481,30.378,0.650
-7.929,-28.807,0.650
-28.682,-12.098,0.650
28.789,-28.829,0.650
-8.930,-20.123,0.650
-21.580,-6.040,0.650
17.748,24.234,0.650
0.855,24.958,0.650
-6.914,-25.965,0.650
29.423,-24.424,0.650
-25.163,14.188,0.650
-12.106,-13.442,0.650
2.082,-31.218,0.650
-21.885,11.332,0.650
12.378,-25.799,0.650
8.767,-1.644,0.650
23.187,2.000,0.650
-27.209,19.918,0.650
-30.894,21.581,0.650
14.528,-9.061,0.650
8.021,31.150,0.650
-13.491,20.522,0.650
-16.196,-16.231,0.650
-5.201,3.271,0.650
-30.010,-31.650,0.650
-30.229,-28.480,0.650
-24.023,-7.343,0.650
-31.064,-4.225,0.650
10.347,7.945,0.650
-28.623,-7.915,0.650
-2.617,-10.508,0.650
-29.790,8.158,0.650
-0.715,13.398,0.650
-26.971,1.594,0.650
4.851,8.653,0.650
16.236,-4.630,0.650
-18.309,-12.429,0.650
22.939,-8.056,0.650
-3.109,25.562,0.650
20.829,17.485,0.650
-10.324,10.819,0.650
-22.095,-0.654,0.650
-7.080,-1.942,0.650
1.270,9.832,0.650
3.613,-22.448,0.650
9.063,-11.739,0.650
30.048,1.402,0.650
-7.672,17.683,0.650
18.365,26.475,0.650
14.172,-23.833,0.650
31.452,27.564,0.650
21.395,26.681,0.650
15.967,16.876,0.650
-6.419,12.675,0.650
-19.678,28.889,0.650
-16.545,-22.002,0.650
-7.542,23.235,0.650
2.251,15.959,0.650
-18.608,-31.246,0.650
-10.626,5.700,0.650
-9.244,-31.686,0.650
-28.926,13.703,0.650
-26.873,-31.548,0.650
20.908,3.248,0.650
-26.561,28.438,0.650
16.198,22.457,0.650
-30.516,31.842,0.650
12.521,-12.880,0.650
20.192,-12.580,0.650
-16.998,-8.080,0.650
-30.265,4.147,0.650
-21.474,31.484,0.650
-12.317,17.144,0.650
-29.253,-16.291,0.650
10.527,-16.689,0.650
0.975,30.040,0.650
-9.566,3.333,0.650
17.839,12.667,0.650
6.232,-13.141,0.650
-28.387,-1.137,0.650
14.498,-1.858,0.650
-27.529,5.179,0.650
5.481,14.364,0.650
18.606,-19.032,0.650
28.483,22.397,0.650
3.184,26.773,0.650
-16.323,9.427,0.650
13.014,-19.791,0.650
12.993,21.417,0.650
16.309,19.694,0.650
19.337,10.069,0.650
15.277,14.680,0.650
-19.890,14.073,0.650
-11.033,23.088,0.650
19.329,-16.471,0.650
-6.421,0.511,0.650
14.356,-14.697,0.650
16.425,2.238,0.650
24.963,8.847,0.650
12.861,27.146,0.650
-1.562,-27.761,0.650
-26.993,9.501,0.650
23.471,-28.343,0.650
23.969,-5.726,0.650
5.901,-2.274,0.650
-15.334,31.686,0.650
-13.265,-9.704,0.650
-31.766,16.585,0.650
16.873,-8.885,0.650
16.752,-21.180,0.650
2.284,3.215,0.650
26.846,16.569,0.650
-12.297,30.538,0.650
9.398,15.322,0.650
-16.236,18.085,0.650
11.560,4.736,0.650
-10.591,-0.582,0.650
27.509,-8.113,0.650
25.100,5.241,0.650
-7.202,-11.439,0.650
24.300,-31.720,0.650
-31.387,26.051,0.650
-19.963,-28.486,0.650
17.749,4.255,0.650
4.939,-28.948,0.650
-1.299,30.580,0.650
-17.649,4.764,0.650
-14.594,15.503,0.650
1.178,6.692,0.650
-13.288,24.617,0.650
-4.632,-24.880,0.650
28.666,9.659,0.650
18.719,-29.064,0.650
21.314,12.833,0.650
24.445,-2.140,0.650
-11.397,-21.884,0.650
2.864,20.568,0.650
31.772,-5.480,0.650
22.369,-19.411,0.650
-27.004,16.900,0.650
-15.001,-27.203,0.650
-21.767,2.510,0.650
20.787,-22.761,0.650
-24.867,19.827,0.650
9.966,12.958,0.650
-23.616,-12.404,0.650
-4.980,-13.964,0.650
7.338,-4.496,0.650
14.376,-27.440,0.650
31.177,-11.265,0.650
6.966,7.072,0.650
-2.329,-24.503,0.650
12.790,23.836,0.650
29.515,5.351,0.650
-21.453,-14.406,0.650
-3.429,-31.965,0.650
-25.291,7.034,0.650
25.812,-13.317,0.650
21.563,-4.149,0.650
-4.003,-0.003,0.650
-1.258,-15.304,0.650
-18.976,18.579,0.650
-23.544,-19.393,0.650
20.634,-27.787,0.650
-26.140,-9.003,0.650
9.266,-8.149,0.650
31.743,20.142,0.650
22.062,30.716,0.650
23.167,20.075,0.650
14.392,9.467,0.650
27.275,29.377,0.650
28.703,-1.447,0.650
-4.283,5.780,0.650
-9.545,28.707,0.650
2.875,-27.801,0.650
23.022,-12.281,0.650
0.501,-13.372,0.650
29.169,18.345,0.650
1.252,-18.839,0.650
21.672,9.131,0.650
27.923,-31.355,0.650
30.168,-26.631,0.650
31.378,-16.466,0.650
4.055,12.145,0.650
26.033,-4.662,0.650
-3.563,20.715,0.650
-12.227,-6.278,0.650
-17.103,-19.019,0.650
-14.955,-31.018,0.650
1.367,-7.985,0.650
30.500,-8.886,0.650
-0.017,-21.723,0.650
-14.768,4.709,0.650
7.114,-21.198,0.650
12.292,18.179,0.650
24.567,-15.285,0.650
-14.413,-7.389,0.650
-6.543,-8.834,0.650
17.191,31.899,0.650
26.591,-27.240,0.650
28.854,31.220,0.650
-8.837,-9.108,0.650
3.102,18.204,0.650
-24.524,31.903,0.650
24.093,28.447,0.650
-0.354,-30.381,0.650
-5.261,-21.235,0.650
28.190,27.259,0.650
-9.431,-24.756,0.650
26.712,20.044,0.650
-31.777,6.670,0.650
-24.333,3.737,0.650
-11.973,-17.025,0.650
-3.767,18.302,0.650
12.163,-7.522,0.650
-23.960,9.022,0.650
-18.783,31.221,0.650
8.737,-27.250,0.650
-21.999,-3.740,0.650
15.543,12.365,0.650
-23.167,-27.279,0.650
-10.833,26.161,0.650
27.476,6.728,0.650
-20.374,23.380,0.650
28.045,13.618,0.650
8.567,-14.418,0.650
-9.099,-16.972,0.650
-29.443,16.968,0.650
27.300,-21.928,0.650
25.411,-17.774,0.650
21.706,-14.389,0.650
-10.675,19.203,0.650
-19.107,0.759,0.650
27.811,-16.778,0.650
31.570,9.821,0.650
0.768,17.848,0.650
-29.675,29.362,0.650
9.216,-31.704,0.650
-29.168,-22.149,0.650
-12.277,-25.510,0.650
-14.031,-22.991,0.650
-26.457,-14.996,0.650
-0.898,3.971,0.650
14.934,-17.718,0.650
-15.444,-13.470,0.650
-11.424,8.289,0.650
31.943,-23.658,0.650
4.358,-0.010,0.650
23.988,17.904,0.650
-2.986,8.561,0.650
4.596,-10.941,0.650
18.792,15.781,0.650
16.010,5.860,0.650
-7.287,-22.752,0.650
2.295,-24.546,0.650
11.816,-10.412,0.650
5.863,5.001,0.650
-20.087,-19.052,0.650
17.072,-31.258,0.650
-2.418,11.264,0.650
11.780,-31.892,0.650
6.495,-16.086,0.650
16.110,-12.100,0.650
-16.129,22.090,0.650
-3.165,-7.119,0.650
-5.576,26.689,0.650
6.750,19.267,0.650
1.394,-4.649,0.650
-1.089,-6.074,0.650
-24.423,-31.977,0.650
-12.996,0.232,0.650
-31.931,-1.966,0.650
24.635,14.782,0.650
-31.829,-11.925,0.650
-3.974,13.722,0.650
11.922,29.951,0.650
-1.453,-17.620,0.650
25.616,-10.915,0.650
26.420,11.247,0.650
0.406,22.688,0.650
-24.706,-1.367,0.650
-7.371,4.090,0.650
4.126,23.965,0.650
-22.649,-9.647,0.650
-21.181,6.079,0.650
-22.197,14.253,0.650
-19.492,-16.386,0.650
-30.765,10.886,0.650
18.606,1.341,0.650
-7.108,31.887,0.650
-7.100,28.703,0.650
-23.998,-4.969,0.650
26.067,31.675,0.650
-19.270,-6.740,0.650
19.804,-24.951,0.650
6.607,-31.738,0.650
-8.826,21.021,0.650
22.450,-16.834,0.650
-17.183,25.136,0.650
-12.841,27.799,0.650
-22.180,-29.498,0.650
-27.177,-5.800,0.650
20.630,23.259,0.650
-31.070,-26.130,0.650
-16.791,-5.388,0.650
-6.023,-18.695,0.650
-17.809,-1.535,0.650
15.062,-29.957,0.650
30.692,16.551,0.650
-31.753,-8.025,0.650
-5.069,16.082,0.650
9.694,-4.813,0.650
-7.496,14.838,0.650
