x,y,r
-2.368,-8.108,0.650
-31.588,0.178,0.650
25.491,-26.828,0.650
3.473,7.466,0.650
-29.383,-7.743,0.650
13.023,-3.071,0.650
14.404,-21.942,0.650
-16.767,-24.899,0.650
0.401,27.125,0.650
5.787,17.549,0.650
-7.445,15.750,0.650
-25.493,-13.365,0.650
11.151,14.445,0.650
-5.008,-26.386,0.650
-14.929,-18.567,0.650
-14.004,19.809,0.650
-19.233,24.730,0.650
-7.756,-0.530,0.650
-30.497,-4.818,0.650
6.198,-24.241,0.650
5.037,25.299,0.650
-19.005,-31.472,0.650
-26.656,2.545,0.650
-30.882,-26.570,0.650
-5.113,-6.519,0.650
8.878,-26.021,0.650
5.107,-20.956,0.650
6.969,29.333,0.650
-14.828,31.673,0.650
31.870,-24.235,0.650
13.150,28.859,0.650
-16.846,7.112,0.650
11.144,5.777,0.650
17.576,-26.449,0.650
-9.779,23.298,0.650
5.385,-3.117,0.650
-6.261,31.109,0.650
4.764,-30.825,0.650
19.160,-10.962,0.650
-4.251,-18.341,0.650
-3.583,-11.219,0.650
-26.316,8.289,0.650
-25.404,18.182,0.650
-30.375,17.966,0.650
19.683,-0.171,0.650
13.405,-16.111,0.650
15.207,-4.800,0.650
-17.219,29.701,0.650
23.034,-8.361,0.650
10.720,-21.052,0.650
21.970,-15.430,0.650
-28.768,30.417,0.650
-20.944,28.577,0.650
31.115,6.820,0.650
-18.649,-7.112,0.650
-9.310,-22.999,0.650
3.964,-23.213,0.650
12.543,-27.802,0.650
-3.110,13.046,0.650
16.907,-7.488,0.650
13.790,17.389,0.650
24.336,-0.356,0.650
-25.650,-28.899,0.650
1.846,-20.907,0.650
17.930,-17.766,0.650
-31.167,-20.746,0.650
-2.771,3.792,0.650
-7.150,-20.925,0.650
24.896,2.839,0.650
9.140,2.698,0.650
-12.780,14.395,0.650
14.123,-25.395,0.650
-0.626,8.753,0.650
-28.611,6.587,0.650
-17.209,20.680,0.650
14.694,7.999,0.650
24.054,-29.696,0.650
6.205,7.250,0.650
11.396,-5.973,0.650
-27.586,-19.898,0.650
-10.635,18.101,0.650
-31.451,29.059,0.650
31.124,21.298,0.650
-25.201,-9.679,0.650
-17.196,17.919,0.650
-19.702,-17.846,0.650
28.040,30.476,0.650
-8.353,8.622,0.650
-16.886,-15.593,0.650
-3.888,28.410,0.650
19.198,-28.301,0.650
6.736,-17.875,0.650
-28.249,-14.388,0.650
30.435,18.322,0.650
25.712,27.564,0.650
29.922,-25.957,0.650
-11.669,-16.180,0.650
6.667,-0.531,0.650
-14.311,-2.448,0.650
